family,dataset,concept,superclass,n_examples
smol,flickr30k,bear,animal,4
smol,flickr30k,cap,clothing,4
smol,flickr30k,camera,electronics,4
smol,flickr30k,apple,food_kitchen,4
smol,flickr30k,backpack,furniture_object,4
smol,flickr30k,baby,person,4
smol,flickr30k,bathroom,scene_nature,4
smol,flickr30k,ball,sports,4
smol,flickr30k,airplane,vehicle,4
smol,flickr30k,bird,animal,4
smol,flickr30k,coat,clothing,4
smol,flickr30k,cell phone,electronics,4
smol,flickr30k,banana,food_kitchen,4
smol,flickr30k,bag,furniture_object,4
smol,flickr30k,boy,person,4
smol,flickr30k,beach,scene_nature,4
smol,flickr30k,baseball,sports,4
smol,flickr30k,bicycle,vehicle,4
smol,flickr30k,cat,animal,4
smol,flickr30k,dress,clothing,4
smol,flickr30k,computer,electronics,4
smol,flickr30k,bottle,food_kitchen,4
smol,flickr30k,bed,furniture_object,4
smol,flickr30k,child,person,4
smol,flickr30k,bridge,scene_nature,4
smol,flickr30k,bat,sports,4
smol,flickr30k,boat,vehicle,4
smol,flickr30k,chicken,animal,4
smol,flickr30k,glasses,clothing,4
smol,flickr30k,headphones,electronics,4
smol,flickr30k,bowl,food_kitchen,4
smol,flickr30k,bench,furniture_object,4
smol,flickr30k,couple,person,4
smol,flickr30k,building,scene_nature,4
smol,flickr30k,court,sports,4
smol,flickr30k,bus,vehicle,4
smol,flickr30k,cow,animal,4
smol,flickr30k,hat,clothing,4
smol,flickr30k,keyboard,electronics,4
smol,flickr30k,bread,food_kitchen,4
smol,flickr30k,blanket,furniture_object,4
smol,flickr30k,crowd,person,4
smol,flickr30k,ceiling,scene_nature,4
smol,flickr30k,field,sports,4
smol,flickr30k,car,vehicle,4
smol,flickr30k,dog,animal,4
smol,flickr30k,jacket,clothing,4
smol,flickr30k,laptop,electronics,4
smol,flickr30k,cake,food_kitchen,4
smol,flickr30k,book,furniture_object,4
smol,flickr30k,driver,person,4
smol,flickr30k,city,scene_nature,4
smol,flickr30k,frisbee,sports,4
smol,flickr30k,motorcycle,vehicle,4
smol,flickr30k,duck,animal,4
smol,flickr30k,jeans,clothing,4
smol,flickr30k,microphone,electronics,4
smol,flickr30k,coffee,food_kitchen,4
smol,flickr30k,box,furniture_object,4
smol,flickr30k,family,person,4
smol,flickr30k,cloud,scene_nature,4
smol,flickr30k,game,sports,4
smol,flickr30k,scooter,vehicle,4
smol,flickr30k,fish,animal,4
smol,flickr30k,pants,clothing,4
smol,flickr30k,monitor,electronics,4
smol,flickr30k,cup,food_kitchen,4
smol,flickr30k,chair,furniture_object,4
smol,flickr30k,girl,person,4
smol,flickr30k,fence,scene_nature,4
smol,flickr30k,glove,sports,4
smol,flickr30k,ship,vehicle,4
smol,flickr30k,goat,animal,4
smol,flickr30k,shirt,clothing,4
smol,flickr30k,phone,electronics,4
smol,flickr30k,fork,food_kitchen,4
smol,flickr30k,couch,furniture_object,4
smol,flickr30k,man,person,4
smol,flickr30k,floor,scene_nature,4
smol,flickr30k,helmet,sports,4
smol,flickr30k,skateboard,vehicle,4
smol,flickr30k,horse,animal,4
smol,flickr30k,shoe,clothing,4
smol,flickr30k,remote,electronics,4
smol,flickr30k,glass,food_kitchen,4
smol,flickr30k,desk,furniture_object,4
smol,flickr30k,people,person,4
smol,flickr30k,flower,scene_nature,4
smol,flickr30k,racket,sports,4
smol,flickr30k,subway,vehicle,4
smol,flickr30k,monkey,animal,4
smol,flickr30k,shorts,clothing,4
smol,flickr30k,screen,electronics,4
smol,flickr30k,hot dog,food_kitchen,4
smol,flickr30k,door,furniture_object,4
smol,flickr30k,person,person,4
smol,flickr30k,forest,scene_nature,4
smol,flickr30k,ski,sports,4
smol,flickr30k,taxi,vehicle,4
smol,flickr30k,mouse,animal,4
smol,flickr30k,tie,clothing,4
smol,flickr30k,television,electronics,4
smol,flickr30k,knife,food_kitchen,4
smol,flickr30k,handbag,furniture_object,4
smol,flickr30k,player,person,4
smol,flickr30k,garden,scene_nature,4
smol,flickr30k,snowboard,sports,4
smol,flickr30k,train,vehicle,4
smol,flickr30k,pig,animal,4
smol,flickr30k,uniform,clothing,4
smol,flickr30k,tv,electronics,4
smol,flickr30k,orange,food_kitchen,4
smol,flickr30k,lamp,furniture_object,4
smol,flickr30k,rider,person,4
smol,flickr30k,grass,scene_nature,4
smol,flickr30k,surfboard,sports,4
smol,flickr30k,truck,vehicle,4
smol,flickr30k,sheep,animal,4
smol,flickr30k,oven,food_kitchen,4
smol,flickr30k,mirror,furniture_object,4
